customer_code,customer_name,market,total_sold_qty,total_forecast_qty,net_error,net_error_pct,abs_error,abs_error_pct,forecast_accuracy
90013120,Coolblue,Italy,109547,133532,23985.0,18.0,70467.0,52.77,47.23
70010048,"Atliq e Store",Bangladesh,119439,142010,22571.0,15.9,75711.0,53.31,46.69
90023027,Costco,Canada,236189,279962,43773.0,15.6,149303.0,53.33,46.67
90023026,Relief,Canada,228988,273492,44504.0,16.3,146948.0,53.73,46.27
90017051,"Forward Stores",Portugal,86823,118067,31244.0,26.5,63568.0,53.84,46.16
90017058,Mbit,Portugal,86860,110195,23335.0,21.2,59473.0,53.97,46.03
90023028,walmart,Canada,239081,283323,44242.0,15.6,153058.0,54.02,45.98
90023024,Sage,Canada,246397,287233,40836.0,14.2,155610.0,54.18,45.82
90015146,Mbit,Norway,147152,210507,63355.0,30.1,114189.0,54.24,45.76
90013124,"Amazon ",Italy,110898,136116,25218.0,18.5,73826.0,54.24,45.76
90017054,"Flawless Stores",Portugal,84371,114698,30327.0,26.4,62483.0,54.48,45.52
70027208,"Atliq e Store",Brazil,33713,47321,13608.0,28.8,25784.0,54.49,45.51
90015147,Chiptec,Norway,154897,223867,68970.0,30.8,122100.0,54.54,45.46
80001019,Neptune,China,1113979,1275248,161269.0,12.6,695779.0,54.56,45.44
90015144,Sound,Norway,160074,225637,65563.0,29.1,123257.0,54.63,45.37
90009130,"Logic Stores",Newzealand,103290,110175,6885.0,6.2,60225.0,54.66,45.34
90015149,UniEuro,Norway,142086,212500,70414.0,33.1,116172.0,54.67,45.33
90021088,Electricalslytical,"United Kingdom",224350,323689,99339.0,30.7,176975.0,54.67,45.33
90017050,"Electricalsara Stores",Portugal,85272,114688,29416.0,25.6,62760.0,54.72,45.28
70013125,"Atliq Exclusive",Italy,101658,123428,21770.0,17.6,67546.0,54.73,45.27
90021094,Coolblue,"United Kingdom",208512,301367,92855.0,30.8,165043.0,54.76,45.24
70009134,"Atliq e Store",Newzealand,103747,110791,7044.0,6.4,60726.0,54.81,45.19
90013118,Fnac-Darty,Italy,101847,126289,24442.0,19.4,69242.0,54.83,45.17
70023031,"Atliq Exclusive",Canada,234114,286297,52183.0,18.2,157171.0,54.90,45.10
90023025,"Premium Stores",Canada,220808,266351,45543.0,17.1,146235.0,54.90,45.10
70017060,"Atliq e Store",Portugal,89925,120744,30819.0,25.5,66285.0,54.90,45.10
90013122,"Radio Popular",Italy,100746,123516,22770.0,18.4,67822.0,54.91,45.09
90017053,"Info Stores",Portugal,84149,111740,27591.0,24.7,61373.0,54.92,45.08
90017059,"Amazon ",Portugal,87828,114154,26326.0,23.1,62720.0,54.94,45.06
90002007,Girias,India,746226,778757,32531.0,4.2,427909.0,54.95,45.05
90023022,"Nomad Stores",Canada,225182,264886,39704.0,15.0,145544.0,54.95,45.05
90001021,Taobao,China,259715,297960,38245.0,12.8,163923.0,55.02,44.98
90017049,"Premium Stores",Portugal,82557,112228,29671.0,26.4,61825.0,55.09,44.91
90017052,Power,Portugal,88498,121705,33207.0,27.3,67149.0,55.17,44.83
90015148,Boulanger,Norway,160192,220107,59915.0,27.2,121545.0,55.22,44.78
90013123,Expert,Italy,103752,129491,25739.0,19.9,71533.0,55.24,44.76
90017056,Sorefoz,Portugal,88606,120208,31602.0,26.3,66408.0,55.24,44.76
90013119,"Argos (Sainsbury's)",Italy,104824,130639,25815.0,19.8,72241.0,55.30,44.70
90017055,"Electricalslance Stores",Portugal,88219,120089,31870.0,26.5,66428.0,55.32,44.68
90002012,Electricalsocity,India,749889,792439,42550.0,5.4,438508.0,55.34,44.66
90013116,"Unity Stores",Italy,109113,134044,24931.0,18.6,74251.0,55.39,44.61
90021087,"Logic Stores","United Kingdom",211131,319727,108596.0,34.0,177210.0,55.43,44.57
90021095,"Amazon ","United Kingdom",219009,314310,95301.0,30.3,174357.0,55.47,44.53
90021093,"Chip 7","United Kingdom",204913,296243,91330.0,30.8,164418.0,55.50,44.50
90021086,"Electricalsquipo Stores","United Kingdom",210548,298342,87794.0,29.4,165718.0,55.55,44.45
90021090,"Radio Popular","United Kingdom",209910,297954,88044.0,29.5,165738.0,55.63,44.37
90025209,"Electricalsbea Stores",Columbia,13178,15428,2250.0,14.6,8582.0,55.63,44.37
90002001,"Reliance Digital",India,695430,723756,28326.0,3.9,402842.0,55.66,44.34
90002010,Ebay,India,711794,732173,20379.0,2.8,407849.0,55.70,44.30
70015152,"Atliq e Store",Norway,158481,223475,64994.0,29.1,124698.0,55.80,44.20
90001020,Zone,China,289006,317484,28478.0,9.0,177384.0,55.87,44.13
90009127,"Epic Stores",Newzealand,105176,113751,8575.0,7.5,63569.0,55.88,44.12
90002003,Ezone,India,736363,763239,26876.0,3.5,426568.0,55.89,44.11
90027207,"Amazon ",Brazil,32354,44608,12254.0,27.5,24994.0,56.03,43.97
90021089,"Atlas Stores","United Kingdom",205601,304342,98741.0,32.4,170577.0,56.05,43.95
90009131,Path,Newzealand,106222,115297,9075.0,7.9,64637.0,56.06,43.94
90009132,"Amazon ",Newzealand,108371,115999,7628.0,6.6,65044.0,56.07,43.93
70010047,"Atliq Exclusive",Bangladesh,116158,134945,18787.0,13.9,75769.0,56.15,43.85
90015150,"Amazon ",Norway,146165,209437,63272.0,30.2,117634.0,56.17,43.83
70023032,"Atliq e Store",Canada,244350,283856,39506.0,13.9,159492.0,56.19,43.81
90010045,Control,Bangladesh,112653,128195,15542.0,12.1,72048.0,56.20,43.80
90023023,Amazon,Canada,371184,441346,70162.0,15.9,248034.0,56.20,43.80
90023030,"Amazon ",Canada,230055,260030,29975.0,11.5,146207.0,56.23,43.77
90013117,Euronics,Italy,101217,124613,23396.0,18.8,70112.0,56.26,43.74
90023029,Staples,Canada,221909,268692,46783.0,17.4,151163.0,56.26,43.74
90021092,UniEuro,"United Kingdom",222331,323563,101232.0,31.3,182072.0,56.27,43.73
70013126,"Atliq e Store",Italy,103808,125312,21504.0,17.2,70542.0,56.29,43.71
90017057,Euronics,Portugal,83058,113719,30661.0,27.0,64027.0,56.30,43.70
90009128,Propel,Newzealand,106425,118305,11880.0,10.0,66964.0,56.60,43.40
70002018,"Atliq e Store",India,701283,742759,41476.0,5.6,420936.0,56.67,43.33
90002005,Lotus,India,711058,729564,18506.0,2.5,413684.0,56.70,43.30
90013121,Boulanger,Italy,102628,122314,19686.0,16.1,69356.0,56.70,43.30
90021091,Expert,"United Kingdom",218161,309916,91755.0,29.6,175777.0,56.72,43.28
90011186,Elite,France,204193,208439,4246.0,2.0,118278.0,56.74,43.26
90020097,"Atlas Stores",Austria,30753,31533,780.0,2.5,17902.0,56.77,43.23
90020098,"Electricalsquipo Stores",Austria,29796,31616,1820.0,5.8,17962.0,56.81,43.19
90010044,"Surface Stores",Bangladesh,117056,138134,21078.0,15.3,78474.0,56.81,43.19
90002006,Viveks,India,722182,742758,20576.0,2.8,423136.0,56.97,43.03
70009133,"Atliq Exclusive",Newzealand,100607,109662,9055.0,8.3,62523.0,57.01,42.99
90002004,"Vijay Sales",India,769180,803515,34335.0,4.3,458183.0,57.02,42.98
70015151,"Atliq Exclusive",Norway,151173,215643,64470.0,29.9,123112.0,57.09,42.91
90011185,"Epic Stores",France,197195,200534,3339.0,1.7,114581.0,57.14,42.86
90015145,Synthetic,Norway,136979,204748,67769.0,33.1,117061.0,57.17,42.83
70021096,"Atliq e Store","United Kingdom",220245,316464,96219.0,30.4,180985.0,57.19,42.81
90002002,Croma,India,710324,755370,45046.0,6.0,432224.0,57.22,42.78
70002017,"Atliq Exclusive",India,685218,728761,43543.0,6.0,417293.0,57.26,42.74
90010046,"Amazon ",Bangladesh,110586,129789,19203.0,14.8,74317.0,57.26,42.74
90002008,Amazon,India,1207193,1264096,56903.0,4.5,724123.0,57.28,42.72
90020102,Fnac-Darty,Austria,31568,30972,-596.0,-1.9,17746.0,57.30,42.70
90018110,Boulanger,Spain,101275,103460,2185.0,2.1,59473.0,57.48,42.52
90018107,Elite,Spain,107194,107244,50.0,0.0,61708.0,57.54,42.46
90020099,"Integration Stores",Austria,32552,32176,-376.0,-1.2,18524.0,57.57,42.43
90018106,Flipkart,Spain,131807,131114,-693.0,-0.5,75507.0,57.59,42.41
90002013,Electricalslytical,India,714570,746134,31564.0,4.2,430464.0,57.69,42.31
90002016,"Amazon ",India,764235,798378,34143.0,4.3,461711.0,57.83,42.17
70011193,"Atliq Exclusive",France,202295,202380,85.0,0.0,117075.0,57.85,42.15
90002011,"Atliq Exclusive",India,768151,770865,2714.0,0.4,446120.0,57.87,42.13
90011189,UniEuro,France,199542,201479,1937.0,1.0,116697.0,57.92,42.08
90011192,"Amazon ",France,213582,214685,1103.0,0.5,124465.0,57.98,42.02
90018112,Euronics,Spain,107461,111440,3979.0,3.6,64665.0,58.03,41.97
90018111,"Media Markt",Spain,106618,105292,-1326.0,-1.3,61184.0,58.11,41.89
90002015,Propel,India,728475,779900,51425.0,6.6,453779.0,58.18,41.82
90002014,Expression,India,717074,731255,14181.0,1.9,426963.0,58.39,41.61
90002009,Flipkart,India,912784,925896,13112.0,1.4,540854.0,58.41,41.59
90020100,Nova,Austria,32756,33458,702.0,2.1,19544.0,58.41,41.59
90009129,Leader,Newzealand,101352,109526,8174.0,7.5,63992.0,58.43,41.57
90018109,Chiptec,Spain,99911,103116,3205.0,3.1,60257.0,58.44,41.56
90011191,Sorefoz,France,209627,208802,-825.0,-0.4,122073.0,58.46,41.54
90018114,"Amazon ",Spain,101895,102430,535.0,0.5,59925.0,58.50,41.50
70020104,"Atliq e Store",Austria,33126,32816,-310.0,-0.9,19228.0,58.59,41.41
70011194,"Atliq e Store",France,202537,200844,-1693.0,-0.8,117685.0,58.60,41.40
90018108,Relief,Spain,108913,109350,437.0,0.4,64095.0,58.61,41.39
70018115,"Atliq e Store",Spain,105134,106360,1226.0,1.2,62408.0,58.68,41.32
90011190,"Media Markt",France,197998,202417,4419.0,2.2,118897.0,58.74,41.26
90011187,"Chip 7",France,205446,209240,3794.0,1.8,122976.0,58.77,41.23
90018113,Elkjøp,Spain,101727,101658,-69.0,-0.1,59801.0,58.83,41.17
90020103,"Amazon ",Austria,32515,31787,-728.0,-2.3,18754.0,59.00,41.00
90018105,"Integration Stores",Spain,100975,100143,-832.0,-0.8,59180.0,59.10,40.90
90020101,Euronics,Austria,30397,30752,355.0,1.2,18375.0,59.75,40.25
90011188,Elkjøp,France,214952,212778,-2174.0,-1.0,127316.0,59.84,40.16
90003179,"Acclaimed Stores",Indonesia,366627,324273,-42354.0,-13.1,196698.0,60.66,39.34
90008165,"Forward Stores",Australia,245134,222090,-23044.0,-10.4,134868.0,60.73,39.27
70008170,"Atliq e Store",Australia,245921,223965,-21956.0,-9.8,137200.0,61.26,38.74
70005163,"Atliq e Store",Pakistan,91411,81908,-9503.0,-11.6,50279.0,61.38,38.62
90022077,"Radio Shack",USA,467929,420833,-47096.0,-11.2,258990.0,61.54,38.46
70008169,"Atliq Exclusive",Australia,244355,222226,-22129.0,-10.0,137573.0,61.91,38.09
90024184,"Amazon ",Chile,24121,21164,-2957.0,-14.0,13147.0,62.12,37.88
90024183,"Electricalsbea Stores",Chile,22229,20670,-1559.0,-7.5,12865.0,62.24,37.76
90003180,"Amazon ",Indonesia,375980,329424,-46556.0,-14.1,205988.0,62.53,37.47
70003182,"Atliq e Store",Indonesia,350840,310630,-40210.0,-12.9,194688.0,62.68,37.32
90005160,"Nomad Stores",Pakistan,94584,85468,-9116.0,-10.7,53600.0,62.71,37.29
90005161,Zone,Pakistan,87395,78539,-8856.0,-11.3,49404.0,62.90,37.10
90022083,Ebay,USA,500727,431049,-69678.0,-16.2,271498.0,62.99,37.01
90022072,Path,USA,515693,447164,-68529.0,-15.3,281835.0,63.03,36.97
90026205,"Amazon ",Mexico,35030,29882,-5148.0,-17.2,18872.0,63.16,36.84
90008166,Sound,Australia,249527,221127,-28400.0,-12.8,139772.0,63.21,36.79
90008168,"Amazon ",Australia,263902,234099,-29803.0,-12.7,148365.0,63.38,36.62
90005162,"Amazon ",Pakistan,89516,77939,-11577.0,-14.9,49425.0,63.41,36.59
90022082,"Amazon ",USA,492326,413788,-78538.0,-19.0,263364.0,63.65,36.35
90008164,Digimarket,Australia,273753,235026,-38727.0,-16.5,150383.0,63.99,36.01
90005159,Expression,Pakistan,91487,80303,-11184.0,-13.9,51500.0,64.13,35.87
90022078,Costco,USA,490310,421956,-68354.0,-16.2,272046.0,64.47,35.53
70022084,"Atliq Exclusive",USA,530155,443643,-86512.0,-19.5,286432.0,64.56,35.44
90022080,Staples,USA,513823,444777,-69046.0,-15.5,287308.0,64.60,35.40
90022075,BestBuy,USA,505147,431868,-73279.0,-17.0,279385.0,64.69,35.31
90016173,Expert,Poland,52683,43568,-9115.0,-20.9,28205.0,64.74,35.26
90022076,"Circuit City",USA,530884,446132,-84752.0,-19.0,289910.0,64.98,35.02
70016178,"Atliq e Store",Poland,51995,44434,-7561.0,-17.0,28901.0,65.04,34.96
90016172,Power,Poland,57177,46087,-11090.0,-24.1,30006.0,65.11,34.89
70016177,"Atliq Exclusive",Poland,53066,43342,-9724.0,-22.4,28228.0,65.13,34.87
90008167,Electricalsocity,Australia,259762,226433,-33329.0,-14.7,147705.0,65.23,34.77
70022085,"Atliq e Store",USA,478305,404483,-73822.0,-18.3,263922.0,65.25,34.75
90022081,Amazon,USA,777382,641467,-135915.0,-21.2,419293.0,65.36,34.64
90022071,"Acclaimed Stores",USA,511082,430881,-80201.0,-18.6,281873.0,65.42,34.58
70003181,"Atliq Exclusive",Indonesia,341482,306647,-34835.0,-11.4,200709.0,65.45,34.55
90022079,walmart,USA,516429,436889,-79540.0,-18.2,285946.0,65.45,34.55
90022073,Control,USA,491725,411476,-80249.0,-19.5,272369.0,66.19,33.81
90016171,"Electricalsara Stores",Poland,54899,45374,-9525.0,-21.0,30155.0,66.46,33.54
90016175,"Argos (Sainsbury's)",Poland,54803,45384,-9419.0,-20.8,30161.0,66.46,33.54
90004066,"Surface Stores",Japan,48702,39047,-9655.0,-24.7,25963.0,66.49,33.51
90022074,Flipkart,USA,629907,525718,-104189.0,-19.8,350847.0,66.74,33.26
90016174,"Currys (Dixons Carphone)",Poland,53358,43842,-9516.0,-21.7,29358.0,66.96,33.04
90016176,"Amazon ",Poland,56974,47385,-9589.0,-20.2,31779.0,67.07,32.93
90004062,"Flawless Stores",Japan,49011,39528,-9483.0,-24.0,26657.0,67.44,32.56
70004069,"Atliq Exclusive",Japan,48332,38362,-9970.0,-26.0,26050.0,67.91,32.09
70026206,"Atliq e Store",Mexico,36181,28792,-7389.0,-25.7,19609.0,68.11,31.89
90004061,"Info Stores",Japan,48186,37371,-10815.0,-28.9,25841.0,69.15,30.85
90004067,Amazon,Japan,81893,63675,-18218.0,-28.6,44196.0,69.41,30.59
90004065,Neptune,Japan,47265,37357,-9908.0,-26.5,26050.0,69.73,30.27
90004063,"Electricalsbea Stores",Japan,50885,39884,-11001.0,-27.6,27897.0,69.95,30.05
90004064,All-Out,Japan,52936,40511,-12425.0,-30.7,28725.0,70.91,29.09
70004070,"Atliq e Store",Japan,50355,38714,-11641.0,-30.1,27483.0,70.99,29.01
90004068,"Amazon ",Japan,51922,41046,-10876.0,-26.5,29434.0,71.71,28.29
90006156,"Amazon ",Philiphines,212263,157382,-54881.0,-34.9,113413.0,72.06,27.94
90006153,Insight,Philiphines,195964,145459,-50505.0,-34.7,106357.0,73.12,26.88
80006155,Novus,Philiphines,829053,599962,-229091.0,-38.2,448279.0,74.72,25.28
70006157,"Atliq Exclusive",Philiphines,193424,141114,-52310.0,-37.1,105552.0,74.80,25.20
90012038,Expert,Germany,109442,77880,-31562.0,-40.5,58644.0,75.30,24.70
80006154,Synthetic,Philiphines,789531,576158,-213373.0,-37.0,434273.0,75.37,24.63
70006158,"Atliq e Store",Philiphines,202406,142913,-59493.0,-41.6,107913.0,75.51,24.49
90019200,Sorefoz,Sweden,28356,20261,-8095.0,-40.0,15371.0,75.86,24.14
90012041,"Amazon ",Germany,110871,77948,-32923.0,-42.2,59703.0,76.59,23.41
70012042,"Atliq Exclusive",Germany,109259,77193,-32066.0,-41.5,59532.0,77.12,22.88
90012033,Digimarket,Germany,109318,75916,-33402.0,-44.0,58830.0,77.49,22.51
90012039,"Currys (Dixons Carphone)",Germany,117037,81873,-35164.0,-42.9,63704.0,77.81,22.19
90012040,Fnac-Darty,Germany,116151,84053,-32098.0,-38.2,65688.0,78.15,21.85
70019204,"Atliq e Store",Sweden,27840,19660,-8180.0,-41.6,15468.0,78.68,21.32
90019201,Expert,Sweden,25685,18154,-7531.0,-41.5,14461.0,79.66,20.34
70012043,"Atliq e Store",Germany,114116,80288,-33828.0,-42.1,64402.0,80.21,19.79
80007195,Sage,"South Korea",1443568,976823,-466745.0,-47.8,786971.0,80.56,19.44
90012037,Saturn,Germany,110414,77018,-33396.0,-43.4,62258.0,80.84,19.16
90012035,Notebillig,Germany,116882,80144,-36738.0,-45.8,65022.0,81.13,18.87
90012034,Otto,Germany,112107,76252,-35855.0,-47.0,62241.0,81.63,18.37
90012036,Billa,Germany,118242,80386,-37856.0,-47.1,65686.0,81.71,18.29
80007196,Leader,"South Korea",1456255,986574,-469681.0,-47.6,807109.0,81.81,18.19
70007199,"Atliq e Store","South Korea",358064,236637,-121427.0,-51.3,194953.0,82.38,17.62
70007198,"Atliq Exclusive","South Korea",345667,228104,-117563.0,-51.5,188585.0,82.68,17.32
90019203,"Amazon ",Sweden,27550,19060,-8490.0,-44.5,15928.0,83.57,16.43
90019202,"Argos (Sainsbury's)",Sweden,26581,18218,-8363.0,-45.9,15273.0,83.83,16.17
90007197,"Amazon ","South Korea",344240,226857,-117383.0,-51.7,191047.0,84.21,15.79
70014142,"Atliq Exclusive",Netherlands,81324,44740,-36584.0,-81.8,47940.0,107.15,0
70014143,"Atliq e Store",Netherlands,81942,45345,-36597.0,-80.7,48575.0,107.12,0
90014135,"Electricalslance Stores",Netherlands,82731,46718,-36013.0,-77.1,48449.0,103.71,0
90014137,"Media Markt",Netherlands,77931,44802,-33129.0,-73.9,45767.0,102.15,0
90014138,Mbit,Netherlands,79249,43779,-35470.0,-81.0,45846.0,104.72,0
90014139,Elkjøp,Netherlands,83198,46240,-36958.0,-79.9,48450.0,104.78,0
90014141,"Amazon ",Netherlands,77462,43905,-33557.0,-76.4,45033.0,102.57,0
90014136,"Reliance Digital",Netherlands,84808,48442,-36366.0,-75.1,48472.0,100.06,0
90014140,"Radio Popular",Netherlands,85581,47577,-38004.0,-79.9,49774.0,104.62,0
